Player,Country,Matches,Innings,Not Out,Runs,Highest Score,Average,Centuries,Half Centuries,Ducks,HighNotOut,Duckratio,World,Player ID
DPMD Jayawardene,Sri Lanka,149,252,15,11814,374,49.84,34,50,15,0,0.100671141,0,675
DR Martyn,Australia,67,109,14,4406,165,46.37,13,23,7,0,0.104477612,0,681
DS Lehmann,Australia,27,42,2,1798,177,44.95,5,10,2,0,0.074074074,0,692
DW Hookes,Australia,23,41,3,1306,143,34.36,1,8,4,1,0.173913044,0,715
DW Randall,England,47,79,5,2470,174,33.37,7,12,14,0,0.29787234,0,716
EJ Barlow,South Africa,30,57,2,2516,201,45.74,6,15,3,0,0.1,0,759
G Boycott,England,108,193,23,8114,246,47.72,22,42,10,1,0.092592593,0,872
G Kirsten,South Africa,101,176,15,7289,275,45.27,21,34,13,0,0.128712871,0,886
GA Gooch,England,118,215,6,8900,333,42.58,20,46,13,0,0.110169492,1,904
GA Hick,England,65,114,6,3383,178,31.32,6,18,11,0,0.169230769,0,907
GC Smith,South Africa,117,205,13,9265,277,48.25,27,38,11,0,0.094017094,1,932
GM Ritchie,Australia,30,53,5,1690,146,35.2,3,7,1,0,0.033333333,0,1000
